Nome,Ingredientes,Preço (R$),Categoria
Açaí no Copo 330ml,"3 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 14,00",Açaí
Açaí no Copo 400ml,"4 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 16,00",Açaí
Açaí no Copo 500ml,"4 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 18,00",Açaí
Milk-Shake 330ml,"Sabores: Chocolate, Morango, Flocos, Nata Goiaba, Chiclete, Delícia de Abacaxi, Ovomaltine, Paçoca","R$ 12,00",Milk-Shake
Milk-Shake 400ml,"Sabores: Chocolate, Morango, Flocos, Nata Goiaba, Chiclete, Delícia de Abacaxi, Ovomaltine, Paçoca","R$ 14,00",Milk-Shake
Milk-Shake 500ml,"Sabores: Chocolate, Morango, Flocos, Nata Goiaba, Chiclete, Delícia de Abacaxi, Ovomaltine, Paçoca","R$ 16,00",Milk-Shake
Milk-Shake Especial 330ml,"Sabores especiais: Ninho com Nutella, Ninho com Oreo, Morango com Nutella, Chocolate com Nutella","R$ 14,00",Milk-Shake
Milk-Shake Especial 400ml,"Sabores especiais: Ninho com Nutella, Ninho com Oreo, Morango com Nutella, Chocolate com Nutella","R$ 16,00",Milk-Shake
Milk-Shake Especial 500ml,"Sabores especiais: Ninho com Nutella, Ninho com Oreo, Morango com Nutella, Chocolate com Nutella","R$ 18,00",Milk-Shake
Sorvete 200ml,"Sabores: Chocolate, Morango, Toffe, Flocos, Nata Goiaba, Chiclete, Creme com Passas, Delícia de Abacaxi","R$ 8,00",Sorvete
Sorvete 300ml,"Sabores: Chocolate, Morango, Toffe, Flocos, Nata Goiaba, Chiclete, Creme com Passas, Delícia de Abacaxi","R$ 10,00",Sorvete
Sorvete 400ml,"Sabores: Chocolate, Morango, Toffe, Flocos, Nata Goiaba, Chiclete, Creme com Passas, Delícia de Abacaxi","R$ 12,00",Sorvete
Sorvete 500ml,"Sabores: Chocolate, Morango, Toffe, Flocos, Nata Goiaba, Chiclete, Creme com Passas, Delícia de Abacaxi","R$ 14,00",Sorvete
Mousse de Maracujá,Mousse artesanal de maracujá,"R$ 5,00",Sorvete
Mousse de Limão,Mousse artesanal de limão,"R$ 5,00",Sorvete
